Model,Precision (0),Recall (0),F1-score (0),Support (0),Precision (1),Recall (1),F1-score (1),Support (1),Accuracy,Macro Avg F1,Weighted Avg F1
SVM (RBF),0.9753694581280788,0.9295774647887324,0.9519230769230769,213.0,0.991652754590985,0.9972020145495244,0.9944196428571429,1787.0,0.99,0.9731713598901099,0.9898937585851649
Logistic Regression,0.736,0.863849765258216,0.7948164146868251,213.0,0.9834285714285714,0.9630665920537214,0.9731410800113091,1787.0,0.9525,0.883978747349067,0.9541495031542515
Decision Tree,0.7962962962962963,0.8075117370892019,0.8018648018648019,213.0,0.977017937219731,0.9753777280358142,0.9761971436572389,1787.0,0.9575,0.8890309727610204,0.9576307492563443
KNN,0.9692307692307692,0.8873239436619719,0.9264705882352942,213.0,0.9867036011080332,0.9966424174594292,0.9916481069042317,1787.0,0.985,0.9590593475697629,0.9847067011659898
Naive Bayes,0.14892086330935253,0.971830985915493,0.2582657517155334,213.0,0.9901639344262295,0.3379966424174594,0.5039632874426366,1787.0,0.4055,0.38111451957908504,0.4777964998877001
Random Forest,0.9728260869565217,0.8403755868544601,0.9017632241813602,213.0,0.9812775330396476,0.9972020145495244,0.9891756869275604,1787.0,0.9805,0.9454694555544603,0.9798662596450902
LDA,0.875,0.7887323943661971,0.8296296296296296,213.0,0.9751106194690266,0.9865696698377169,0.9808066759388039,1787.0,0.9655,0.9052181527842167,0.9647063205068769
Linear Regression,0.901840490797546,0.6901408450704225,0.7819148936170213,213.0,0.9640718562874252,0.9910464465584778,0.9773730684326711,1787.0,0.959,0.8796439810248462,0.9565567728148043
MLP,0.949748743718593,0.8873239436619719,0.9174757281553398,213.0,0.9866740699611327,0.9944040290990487,0.9905239687848384,1787.0,0.983,0.9539998484700891,0.9827443311577968
